model,embedding,seed,subject,test_mean_r,test_max_r,variant
linear,clip,42,sub-07,0.037210747599601746,0.7184575796127319,linear_clip_seed42
linear,clip,42,sub-08,0.05451221391558647,0.7026034593582153,linear_clip_seed42
linear,clip,42,sub-09,0.030846184119582176,0.6092555522918701,linear_clip_seed42
linear,clip,42,sub-10,0.05241711810231209,0.6778584122657776,linear_clip_seed42
per_subject,clip,42,sub-01,0.03519458323717117,0.6848532557487488,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-02,0.015710733830928802,0.6094142198562622,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-03,0.02589532360434532,0.6520753502845764,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-04,0.04649471119046211,0.5902947187423706,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-05,0.03473960608243942,0.7306878566741943,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-06,0.03614724054932594,0.6565926671028137,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-07,0.04685810208320618,0.7237116694450378,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-08,0.0720779299736023,0.6934038400650024,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-09,0.017540371045470238,0.5028603076934814,per_subject_clip_rescue_seed42
per_subject,clip,42,sub-10,0.06292788684368134,0.6843482851982117,per_subject_clip_rescue_seed42
per_subject_orig,clip,42,sub-01,0.005424165166914463,0.3923523724079132,per_subject_clip_seed42
per_subject_orig,clip,42,sub-02,0.006166856735944748,0.3005398213863373,per_subject_clip_seed42
per_subject_orig,clip,42,sub-03,0.007118814159184694,0.33323243260383606,per_subject_clip_seed42
per_subject_orig,clip,42,sub-04,0.009402241557836533,0.3839295506477356,per_subject_clip_seed42
per_subject_orig,clip,42,sub-05,0.006578192114830017,0.4189428985118866,per_subject_clip_seed42
per_subject_orig,clip,42,sub-06,0.008793228305876255,0.3512863218784332,per_subject_clip_seed42
per_subject_orig,clip,42,sub-07,0.0076520261354744434,0.429632306098938,per_subject_clip_seed42
per_subject_orig,clip,42,sub-08,0.011870688758790493,0.4269011616706848,per_subject_clip_seed42
per_subject_orig,clip,42,sub-09,0.006192491389811039,0.2940600514411926,per_subject_clip_seed42
per_subject_orig,clip,42,sub-10,0.0134147172793746,0.4469794034957886,per_subject_clip_seed42
